clue_numbers,solving_time_ms,backtrack_count,propagation_count
965173842842695713713482965274856391391724586586931274628519437159347628437268159,80,0.023,0,0
513826974947153268286497531132689457869745123475312896694571382328964715751238649,80,0.009,0,0
645918372723564918189372564257649183831725649496183725914837256378256491562491837,80,0.008,0,0
521738946694512837783649215947261358835974162216853479169325784352487691478196523,80,0.009,0,0
871359264642718593935426187293641758164875329587932416716583942358294671429167835,80,0.008,0,0
183527964275946381469318572517692843926834715348751629652489137894173256731265498,80,0.006,0,0
276458139139762845845391276524839617983176524617245983791624358358917462462583791,80,0.006,0,0
391467825528193467764825193215349786943786512687512349479658231856231974132974658,80,0.022,0,0
924568137568713249713924685689135472135247896247689351471892563892356714356471928,80,0.007,0,0
941728653782365149356914287135249876294687531678153492413892765829576314567431928,80,0.006,0,0
814623957362795481579148236628937514145286379793451862281369745457812693936574128,80,0.013,0,0
637815429185942673492367158769153284513428796248679531356281947974536812821794365,80,0.035,0,0
649513728278946135315872469537428691961735284824169357752684913486391572193257846,80,0.019,0,0
532496781817235469694718253783952146461387925259164378375629814926841537148573692,80,0.008,0,0
379562148256184739418793526164837952592641873783925614621478395847359261935216487,80,0.006,0,0
573948216612753894498162375257439168349681752861527943125374689986215437734896521,80,0.007,0,0
981432765423657891675918243197384652562179438348526917716893524254761389839245176,80,0.006,0,0
215634897436978251879512463541386972927145638683729514752461389398257146164893725,80,0.008,0,0
821576943567934821943812567194728356356149782782365194435291678219687435678453219,80,0.007,0,0
681935742359472618724168395165293487478516923932847156846351279513729864297684531,80,0.013,0,0
621543897345879162978126534219654378783912645456387921562438719197265483834791256,80,0.009,0,0
518237469964815237732469815451378692873692154296154378187923546645781923329546781,80,0.008,0,0
124835976385796124976214385692148537418357692537962418759621843843579261261483759,80,0.008,0,0
378219564564873912912465378856732491491658237237194856785321649649587123123946785,80,0.008,0,0
928136745163475892457982316396751284842369571715824639274698153531247968689513427,80,0.007,0,0
952816473473295168168347952729158634634972581581463729397521846215684397846739215,80,0.006,0,0
819762345267453891354918276425139768931687452786524913572341689698275134143896527,80,0.009,0,0
476932815392158674518746293963215487784693521125874369857469132649321758231587946,80,0.006,0,0
823651497156974832479328165342586971685719324917243658294835716538167249761492583,80,0.023,0,0
264381795138597246759642183591476328647823519382915674826139457475268931913754862,80,0.009,0,0
876129354543867219192534687684271935217395468359648721931456872728913546465782193,80,0.007,0,0
823549167945176382671328594236854971458917623719632845194763258582491736367285419,80,0.008,0,0
831945276954672318627813549279361485548297163316584792162438957795126834483759621,80,0.007,0,0
621497538749385621538216749217954386495863217386172495953628174862741953174539862,80,0.007,0,0
378692541154837269926415783781326495263954817549178632492581376815763924637249158,80,0.007,0,0
759436218463128975182795346278954631316287594945361827621879453897543162534612789,80,0.021,0,0
893512746125467938674389251589241673367958124412736895258174369936825417741693582,80,0.009,0,0
157496328238175649469283517372519864591648732684327951713954286945862173826731495,80,0.009,0,0
254876139319245687867391524548637912673129458192584763486713295731952846925468371,80,0.008,0,0
816759432579342816432186579395214768768935124124678395253461987641897253987523641,80,0.009,0,0
427316985589742361163958724346891257752634819918275643831529476674183592295467138,80,0.006,0,0
836279145729415836145386729974153682513862974682794513267941358358627491491538267,80,0.007,0,0
689514732451327689732896451973681245168452973245739168897165324516243897324978516,80,0.008,0,0
278513469135946278469827135817354926926781543543692817751439682682175394394268751,80,0.007,0,0
497235186325186947816947235268714593953628714174593628582461379641379852739852461,80,0.008,0,0
764253981981476532532198764825961347619734825347582619273815496496327158158649273,80,0.011,0,0
256739841379481256841526379125367984637894125984215637798142563563978412412653798,80,0.008,0,0
814567392657329148239184576142758963396412785578936421781695234965243817423871659,80,0.006,0,0
781235964352496781964178352529764813647381529813952647296847135478513296135629478,80,0.009,0,0
386427951915638247274591368631842579428759613597163482169384725843275196752916834,80,0.009,0,0
846721539712953648935864217159386724427195863368472951674219385583647192291538476,80,0.022,0,0
176592834438617529925843671359478162261935487784126953647251398893764215512389746,80,0.009,0,0
749162385621358947583974126354297861972816453168435279437629518815743692296581734,80,0.007,0,0
869453127534712869127986534456371982982645713713298456291864375375129648648537291,80,0.007,0,0
481297563279635841653418729532861974816749352794523186327156498948372615165984237,80,0.008,0,0
152467839893251746764398125415673298289514367376982451937825614641739582528146973,80,0.007,0,0
764925831138476952259813467641759283597238146382164795825341679413697528976582314,80,0.023,0,0
384759126216834759579126834165482973793615482842973615938567241421398567657241398,80,0.035,0,0
761945382459328167283176954976534821345812679128697543612759438597483216834261795,80,0.006,0,0
863457129547291368921683745186534297354972681792816453479128536635749812218365974,80,0.008,0,0
527831649183946572694275138712683495459127386368594721846759213975312864231468957,80,0.009,0,0
942385176538671924167429583253168749816947235794532861425813697381796452679254318,80,0.009,0,0
256918734473265819981437562345682971628179453197354286714523698869741325532896147,80,0.007,0,0
683197245245683197197245683876951432951432876432876951364718529718529364529364718,80,0.008,0,0
518947362749263518362815749874639251936152874251478936625781493187394625493526187,80,0.010,0,0
231745968968213754754986231342578619619324587587691342895162473126437895473859126,80,0.010,0,0
751386294924715638368942571687234159519678423243591867436129785192857346875463912,80,0.010,0,0
726419583835726941419835672541683297683972154972541368354268719197354826268197435,80,0.008,0,0
892736541154928736673541928746215389938467215521389467417852693369174852285693174,80,0.006,0,0
369425871871963524524178369436251987987634152152789436715896243243517698698342715,80,0.008,0,0
371854269296317854845269317718425936963781425452936781184592673529673148637148592,80,0.007,0,0
345728169872916534691453287584672913139845726267391458953284671716539842428167395,80,0.006,0,0
289364571346517289571298346134975628957682134628143957462731895713859462895426713,80,0.006,0,0
915628437628473951473915682759186243234759168186234795397561824842397516561842379,80,0.008,0,0
732146958958723164164985732329674581647518329581392647295437816816259473473861295,80,0.008,0,0
216987354435612897789534162894253671352761948167498523521876439678349215943125786,80,0.008,0,0
762159438951834762438267951387926514629415387514783629876592143295341876143678295,80,0.008,0,0
816732945327495861954681372263957184148326597579814236735149628491268753682573419,80,0.008,0,0
168437952592681473743925618985316247427859361631274895819763524254198736376542189,80,0.006,0,0
367984152125367948984125376259671834843259617671843295712436589598712463436598721,80,0.007,0,0
341867925678592341925134678286945713713628459459371286194783562562419837837256194,80,0.006,0,0
896237514237415698415896732549683127721549386683721945362174859174958263958362471,80,0.007,0,0
685931724391247586427865193739452861168379245542618937273584619916723458854196372,80,0.008,0,0
984713652731265489256948137495187326623459871178632594367524918819376245542891763,80,0.007,0,0
851349276672518439934726158749265813526183947318497625483972561165834792297651384,80,0.013,0,0
275396418481275369396481257813754926962813745754962831627139584139548672548627193,80,0.007,0,0
684325719179486253523971864362759148418263597957814632246537981891642375735198426,80,0.006,0,0
548793162397216458612845937983671245176524893425389716731462589859137624264958371,80,0.008,0,0
627195483384672951159348726468721539712953864935486217876219345291534678543867192,80,0.009,0,0
976584231132697548845213679469835127358172964721946853594328716283761495617459382,80,0.013,0,0
748925136316478925295136478634789251521364789879251364467892513982513647153647892,80,0.010,0,0
317682495268459137945173628673824519159736842482591763836245971791368254524917386,80,0.023,0,0
821935746593674182467218359142893675756421938389567214274189563918356427635742891,80,0.007,0,0
539218764218467935467539812392184576675392481184675293921846357753921648846753129,80,0.007,0,0
574129368291386475863457192932864517715293846648571239456712983389645721127938654,80,0.010,0,0
981623547574891236263754918427518369396247185158936472732485691845169723619372854,80,0.013,0,0
721465938389217654546893172932741865658329417174586293415638729297154386863972541,80,0.009,0,0
824135967513967248796248135165479382238651479947382651489523716352716894671894523,80,0.007,0,0
436895271859721643712463985564189732327546819198372456673954128945218367281637594,80,0.009,0,0
182379465645218973793564812518927634279436158364851729827693541451782396936145287,80,0.012,0,0
327689154514327869689514237961452378738961542452738691243876915195243786876195423,80,0.019,0,0
397421685865379142412856937953147268174682593628935714246598371589713426731264859,80,0.009,0,0
896174235532689147741253698317592864468731529925846713184327956273965481659418372,80,0.021,0,0
692475831745381692831962745316297458458136927927548316583619274169724583274853169,80,0.006,0,0
942867315153492768687513294439286157571349682826751943314928576765134829298675431,80,0.006,0,0
725461839461398572398725146139872654546139287872546913987254361613987425254613798,80,0.006,0,0
126873945837954126945162837259316478361487259478295361692731584584629713713548692,80,0.006,0,0
152846973846973152973152846685394217217685394394217685729561438438729561561438729,80,0.008,0,0
254673981891524673763981524386219745475836219129745836537168492618492357942357168,80,0.007,0,0
852963714396741582174528936439172865217856349685394127521689473968437251743215698,80,0.009,0,0
948753216753621489621948537365192748192874653874365921437516892289437165516289374,80,0.008,0,0
364827591591634287287951364642785913875193642913462875759316428136248759428579136,80,0.007,0,0
826437915743915268591268437354891726672543891189726543968372154415689372237154689,80,0.008,0,0
478351926315962478926487315769148253184235769253796184541623897632879541897514632,80,0.009,0,0
415398276398267451267415389984673125152984637673152948526841793739526814841739562,80,0.006,0,0
814376925763952418529481367981647253352198674476235189635829741298714536147563892,80,0.007,0,0
327648951195372846684159273856917432243865719971234568462581397739426185518793624,80,0.020,0,0
462891375819735246753426981346218597281957634975364128534682719628179453197543862,80,0.006,0,0
846739125937521846125648937258964371469173258371852469693217584712485693584396712,80,0.007,0,0
231657489675498231489213675127586943943172568568934127854329716716845392392761854,80,0.006,0,0
325946187817523469649718235273654918456891723198372546961287354534169872782435691,80,0.006,0,0
658921374921374658374658921783516249249783516516249783867195432432867195195432867,80,0.008,0,0
732865149419327856586194372394278615827651934165943287951432768243786591678519423,80,0.006,0,0
735962481148537692269841357392186574457293816681754923916478235874325169523619748,80,0.007,0,0
271864953935712468486359217193276584548931672627485139719628345354197826862543791,80,0.009,0,0
815623497794851236632749518358962741926174853147385629283496175571238964469517382,80,0.006,0,0
412953768687241953539768241396487512874512639125639487741325896253896174968174325,80,0.008,0,0
182534679679821453453796182945672318267183945318459267826315794794268531531947826,80,0.009,0,0
814693275725148639369257184472819356981365742536724891253471968147986523698532417,80,0.012,0,0
279583461538641927614297853857436192921875346463912785196728534782354619345169278,80,0.007,0,0
536921748874563129912847365165792483348156297729384651251479836683215974497638512,80,0.007,0,0
158672349672439518439158762591786234324591876786324951263945187817263495945817623,80,0.022,0,0
724385691835691274961274385476852913582913746193746852257138469318469527649527138,80,0.009,0,0
264713589713589264589264713197845632845632197632197845951428376428376951376951428,80,0.008,0,0
657891423342675198819324576985213647764958312231746859596182734473569281128437965,80,0.009,0,0
654987321231564987897321564576198432918432756342756198785219643463875219129643875,80,0.006,0,0
163754289457298316892361745921436857634875192578129463216543978789612534345987621,80,0.008,0,0
725164389641398527983572146436985712217643958859721634394857261578216493162439875,80,0.019,0,0
182376954549218376763954218276435891918627435354891627491782563827563149635149782,80,0.016,0,0
192456378387219546564738129238941765419675283756823491641587932923164857875392614,80,0.008,0,0
796435821218967354543182679324718965871596432659243187935824716167359248482671593,80,0.009,0,0
621437895859621473437859612945182736182763954763945128574298361316574289298316547,80,0.023,0,0
795361284248597136163842759637184925952736418481259673816425397379618542524973861,80,0.008,0,0
367592481841376259529814637784963512936125874152748396415687923678239145293451768,80,0.008,0,0
524739168861452793397186425918564372645327819273891546432978651789615234156243987,80,0.008,0,0
153789246642153987789642351826431795431597628597826134968214573375968412214375869,80,0.007,0,0
125734698896125437734896521572483916483619275619572384247368159368951742951247863,80,0.007,0,0
854362179197548263236971845489256731625137498713894652941685327568723914372419586,80,0.007,0,0
875619324619234785234875169561923847487561293923487651756192438192348576348756912,80,0.020,0,0
352987614798164253416523897187645329923871465564239781839716542245398176671452938,80,0.006,0,0
645312897978654132321987564137849256562173489894526713486235971719468325253791648,80,0.008,0,0
197685342658234791243179856486923175932517684571468239364792518815346927729851463,80,0.014,0,0
156972834348561729297483615829346571634157982715298463563719248482635197971824356,80,0.007,0,0
612347589589621374374598612937285461461973258258416937125764893746839125893152746,80,0.022,0,0
529378614614925873873416529736541298298637145145892736361254987987163452452789361,80,0.007,0,0
675913248842576913319248576153894627726351894498627351934782165287165439561439782,80,0.007,0,0
428917635971635482653482917865124379142379856397856124714593268539268741286741593,80,0.008,0,0
429673158851429376673851924385142769142967583967385241738514692296738415514296837,80,0.009,0,0
175682943943751268268439175896143527527968314314275896639514782451827639782396451,80,0.013,0,0
863257419419836275275491863927314586341568927586972341758129634634785192192643758,80,0.009,0,0
962147385385296471471538962137859246246713598598624137614375829753982614829461753,80,0.006,0,0
659813724427596183381274956574968312896132475213745698945681237168327549732459861,80,0.009,0,0
683541729415279638792368451579826314341957286268134597834715962926483175157692843,80,0.007,0,0
841926753926753841753841926518469237237518469469237518385194672194672385672385194,80,0.006,0,0
359186247816742935472539681937865124241397568685421793563218479128974356794653812,80,0.006,0,0
549273618372681954186945237423167589895324176761598342934712865658439721217856493,80,0.008,0,0
756123498948576123213498576562319847487652319139847652875261934394785261621934785,80,0.013,0,0
437586219921437865586921374698142537753698421142753986819274653365819742274365198,80,0.008,0,0
478261539216539487593487261735148926962753148184926753641392875857614392329875614,80,0.025,0,0
896524317245173968731689452312796584458231679967845123124367895673958241589412736,80,0.006,0,0
629315847748296135531487926162538479853749261974621358316854792297163584485972613,80,0.008,0,0
849561327165237498732948651427896513698153274351724986974685132586312749213479865,80,0.006,0,0
514968273732145689896327451945683712127459836368271594471596328283714965659832147,80,0.006,0,0
564872913913645287287139564721963458396584721458217396842791635179356842635428179,80,0.008,0,0
365798142142635978978412365837924516516387294294156837621573489753849621489261753,80,0.009,0,0
695381247831274956724965318473652891189743625562819734348527169916438572257196483,80,0.010,0,0
796412853583976412142853976379164528614528739258739164961245387837691245425387691,80,0.006,0,0
731486259529731846486529371972143568143658792658972413217364985895217634364895127,80,0.007,0,0
429563178817492365536871294264357981198246753375189642783914526652738419941625837,80,0.008,0,0
249865173317294568856371492493526781178439625562187934785913246624758319931642857,80,0.007,0,0
863712945217594683495368127781925436346187259529643871972456318138279564654831792,80,0.007,0,0
467952381183647295592813764671294538924385176835761429359178642718426953246539817,80,0.020,0,0
156289734289473561473156892947315286315628479628947153731562948562894317894731625,80,0.012,0,0
682491573735628941419753268157362489326849715894175632563284197248917356971536824,80,0.038,0,0
534821769218976534769453218451682973973145826826397451395214687687539142142768395,80,0.008,0,0
495132867132786954786495321821967543967354218354821679243618795579243186618579432,80,0.008,0,0
918347526734652891265189473187423965659871234342596718426915387591738642873264159,80,0.006,0,0
956274813138956427274138695425817369693425781817693542361549278782361954549782136,80,0.006,0,0
754126398126398754398754126439675812675812439812439675267981543543267981981543267,80,0.008,0,0
278195346195346278346278195819534627627819534534627819462781953953462781781953462,80,0.008,0,0
152839476938647512746251398614592783873416925295378164589763241367124859421985637,80,0.006,0,0
638957412412368597597142638186735924375294186924816375261583749749621853853479261,80,0.018,0,0
295867413786431925143952876437519682951628347862374591629783154514296738378145269,80,0.008,0,0
125769438679843152483215697567498321312657984948132576794381265831526749256974813,80,0.009,0,0
619278543827543196354196278198732465273465981546981732982357614461829357735614829,80,0.008,0,0
396478215847251936125963487739845162584126379612397854961734528258619743473582691,80,0.009,0,0
456972183831654927279138645562897431314265879798413256627389514983541762145726398,80,0.007,0,0
